time,y
2386,0.0139588
2387,0.0139589
2388,0.0139591
2389,0.0139593
2390,0.0139593
2391,0.0139597
2392,0.0139598
2393,0.0139601
2394,0.0139602
2395,0.0139604
2396,0.0139606
2397,0.0139609
2398,0.0139609
2399,0.0139612
2400,0.0139613
2401,0.0139616
2402,0.0139617
2403,0.013962
2404,0.0139621
2405,0.0139624
2406,0.0139624
2407,0.0139627
2408,0.0139629
2409,0.0139638
2410,0.0139639
2411,0.0139647
2412,0.0139651
2413,0.0139654
2414,0.0139654
2415,0.0139664
2416,0.0139666
2417,0.0139667
2418,0.013967
2419,0.013967
2420,0.0139674
2421,0.0139675
2422,0.0139678
2423,0.0139679
2424,0.0139683
2425,0.0139684
2426,0.0139686
2427,0.0139689
2428,0.0139691
2429,0.0139692
2430,0.0139695
2431,0.0139699
2432,0.01397
2433,0.0139702
2434,0.0139704
2435,0.0139707
2436,0.0139708
2437,0.0139711
2438,0.0139714
2439,0.0139715
2440,0.0139718
2441,0.013972
2442,0.0139721
2443,0.0139724
2444,0.0139726
2445,0.0139729
2446,0.0139732
2447,0.0139734
2448,0.0139736
2449,0.0139737
2450,0.013974
2451,0.0139742
2452,0.0139743
2453,0.0139747
2454,0.0139749
2455,0.0139752
2456,0.0139754
2457,0.0139757
2458,0.013976
2459,0.0139765
2460,0.0139767
2461,0.0139771
2462,0.0139775
2463,0.0139779
2464,0.0139785
2465,0.0139788
2466,0.0139795
2467,0.0139798
2468,0.0139802
2469,0.013981
2470,0.0139813
2471,0.0139821
2472,0.0139825
2473,0.013983
2474,0.0139839
2475,0.0139844
2476,0.0139854
2477,0.0139858
2478,0.013987
2479,0.0139875
2480,0.0139886
2481,0.0139897
2482,0.0139904
2483,0.0139917
2484,0.0139924
2485,0.0139938
2486,0.0139945
2487,0.0139953
2488,0.0139968
2489,0.0139984
2490,0.0139991
2491,0.014
2492,0.0140018
2493,0.0140027
2494,0.0140045
2495,0.0140055
2496,0.0140074
2497,0.0140084
2498,0.0140105
2499,0.0140116
2500,0.0140138
2501,0.0140149
2502,0.0140172
2503,0.0140184
2504,0.0140208
2505,0.0140233
2506,0.0140245
2507,0.0140272
2508,0.0140286
2509,0.0140314
2510,0.0140328
2511,0.0140357
2512,0.0140372
2513,0.0140387
2514,0.0140418
2515,0.0140434
2516,0.0140465
2517,0.0140499
2518,0.0140515
2519,0.014055
2520,0.0140568
2521,0.0140604
2522,0.0140623
2523,0.014066
2524,0.0140679
2525,0.0140718
2526,0.0140738
2527,0.0140779
2528,0.01408
2529,0.014082
2530,0.0140862
2531,0.0140905
2532,0.014095
2533,0.0140972
2534,0.0141018
2535,0.0141042
2536,0.014109
2537,0.0141115
2538,0.0141163
2539,0.0141188
2540,0.0141239
2541,0.0141265
2542,0.014129
2543,0.0141344
2544,0.0141371
2545,0.0141425
2546,0.0141481
2547,0.0141509
2548,0.0141566
2549,0.0141595
2550,0.0141653
2551,0.0141683
2552,0.0141744
2553,0.0141774
2554,0.0141805
2555,0.0141869
2556,0.01419
2557,0.0141964
2558,0.0141997
2559,0.0142029
2560,0.0142096
2561,0.014213
2562,0.0142198
2563,0.0142266
2564,0.0142336
2565,0.0142371
2566,0.0142443
2567,0.0142515
2568,0.0142552
2569,0.0142627
2570,0.0142665
2571,0.0142702
2572,0.0142779
2573,0.0142818
2574,0.0142896
2575,0.0142936
2576,0.0143015
2577,0.0143095
2578,0.0143136
2579,0.0143218
2580,0.014326
2581,0.0143301
2582,0.0143386
2583,0.0143429
2584,0.0143515
2585,0.0143558
2586,0.0143645
2587,0.0143733
2588,0.0143777
2589,0.0143868
2590,0.0143913
2591,0.0144005
2592,0.0144096
2593,0.0144143
2594,0.0144236
2595,0.0144283
2596,0.0144379
2597,0.0144428
2598,0.0144523
2599,0.0144572
2600,0.014462
2601,0.0144719
2602,0.0144769
2603,0.0144868
2604,0.0144918
2605,0.0144968
2606,0.014507
2607,0.0145122
2608,0.0145223
2609,0.0145276
2610,0.0145379
2611,0.0145431
2612,0.0145537
2613,0.0145589
2614,0.0145695
2615,0.0145749
2616,0.0145856
2617,0.014591
2618,0.0146019
2619,0.0146073
2620,0.0146184
2621,0.0146239
2622,0.0146293
2623,0.0146406
2624,0.0146461
2625,0.0146573
2626,0.0146686
2627,0.0146742
2628,0.0146799
2629,0.0146913
2630,0.0146971
2631,0.0147085
2632,0.0147144
2633,0.014726
2634,0.0147377
2635,0.0147435
2636,0.0147552
2637,0.0147611
2638,0.014767
2639,0.0147789
2640,0.0147908
2641,0.0147967
2642,0.0148087
2643,0.0148147
2644,0.0148267
2645,0.0148388
2646,0.0148508
2647,0.014863
2648,0.0148751
2649,0.0148813
2650,0.0148937
2651,0.0149059
2652,0.0149121
2653,0.0149244
2654,0.0149305
2655,0.0149369
2656,0.0149492
2657,0.0149554
2658,0.0149678
2659,0.0149741
2660,0.0149865
2661,0.0149928
2662,0.0150053
2663,0.0150178
2664,0.015024
2665,0.0150365
2666,0.0150428
2667,0.0150554
2668,0.0150617
2669,0.0150679
2670,0.0150806
2671,0.0150869
2672,0.0150995
2673,0.0151057
2674,0.0151183
2675,0.0151309
2676,0.0151371
2677,0.0151497
2678,0.0151561
2679,0.0151686
2680,0.015175
2681,0.0151874
2682,0.0151999
2683,0.0152062
2684,0.0152188
2685,0.0152251
2686,0.0152313
2687,0.0152439
2688,0.0152563
2689,0.0152625
2690,0.015275
2691,0.0152874
2692,0.0152935
2693,0.015306
2694,0.0153122
2695,0.0153245
2696,0.0153308
2697,0.015343
2698,0.0153491
2699,0.0153614
2700,0.0153675
2701,0.0153798
2702,0.0153857
2703,0.0153979
2704,0.01541
2705,0.0154161
2706,0.015428
2707,0.015434
2708,0.0154459
2709,0.015452
2710,0.0154638
2711,0.0154698
2712,0.0154815
2713,0.0154874
2714,0.0154933
2715,0.015505
2716,0.0155109
2717,0.0155208
2718,0.015527
2719,0.0155391
2720,0.0155511
2721,0.0155568
2722,0.0155683
2723,0.015574
2724,0.0155853
2725,0.0155908
2726,0.0155964
2727,0.0156075
2728,0.0156131
2729,0.015624
2730,0.0156296
2731,0.0156404
2732,0.0156459
2733,0.0156566
2734,0.0156673
2735,0.0156725
2736,0.0156831
2737,0.0156884
2738,0.0156988
2739,0.0157092
2740,0.0157143
2741,0.0157194
2742,0.0157296
2743,0.0157347
2744,0.0157448
2745,0.0157547
2746,0.0157596
2747,0.0157695
2748,0.0157792
2749,0.015784
2750,0.0157888
2751,0.0157984
2752,0.0158032
2753,0.0158126
2754,0.0158218
2755,0.0158264
2756,0.0158356
2757,0.0158401
2758,0.0158446
2759,0.0158536
2760,0.0158624
2761,0.0158668
2762,0.0158755
2763,0.0158841
2764,0.0158883
2765,0.0158926
2766,0.015901
2767,0.0159052
2768,0.0159133
2769,0.0159174
2770,0.0159214
2771,0.0159295
2772,0.0159373
2773,0.0159412
2774,0.015949
2775,0.0159527
2776,0.0159604
2777,0.0159641
2778,0.0159715
2779,0.0159751
2780,0.0159788
2781,0.0159824
2782,0.0159895
2783,0.0159964
2784,0.0159999
2785,0.0160032
2786,0.0160101
2787,0.0160134
2788,0.01602
2789,0.0160232
2790,0.0160265
2791,0.0160328
2792,0.016039
2793,0.0160421
2794,0.0160482
2795,0.0160512
2796,0.0160541
2797,0.01606
2798,0.0160628
2799,0.0160685
2800,0.0160713
2801,0.0160767
2802,0.0160795
2803,0.0160848
2804,0.0160874
2805,0.01609
2806,0.016095
2807,0.0161
2808,0.0161024
2809,0.0161072
2810,0.0161096
2811,0.0161141
2812,0.0161164
2813,0.0161209
