time,theta_dot
2119,7.76513e-05
2120,7.81123e-05
2121,7.85406e-05
2122,7.89521e-05
2123,7.91544e-05
2124,7.96158e-05
2125,8.00527e-05
2126,8.04731e-05
2127,8.08884e-05
2128,8.10884e-05
2129,8.15479e-05
2130,8.19766e-05
2131,8.21744e-05
2132,8.26277e-05
2133,8.30612e-05
2134,8.32637e-05
2135,8.39213e-05
2136,8.41239e-05
2137,8.45558e-05
2138,8.49817e-05
2139,8.51794e-05
2140,8.56359e-05
2141,8.6072e-05
2142,8.64856e-05
2143,8.69029e-05
2144,8.71081e-05
2145,8.75754e-05
2146,8.8008e-05
2147,8.82068e-05
2148,8.8661e-05
2149,8.90869e-05
2150,8.94991e-05
2151,8.97025e-05
2152,9.01666e-05
2153,9.06062e-05
2154,9.08105e-05
2155,9.12549e-05
2156,9.14709e-05
2157,9.19068e-05
2158,9.21203e-05
2159,9.23238e-05
2160,9.27791e-05
2161,9.29891e-05
2162,9.34166e-05
2163,9.38305e-05
2164,9.40254e-05
2165,9.44805e-05
2166,9.47011e-05
2167,9.491e-05
2168,9.53712e-05
2169,9.5583e-05
2170,9.60122e-05
2171,9.62241e-05
2172,9.64271e-05
2173,9.68832e-05
2174,9.72955e-05
2175,9.74896e-05
2176,9.79431e-05
2177,9.83807e-05
2178,9.85858e-05
2179,9.90345e-05
2180,9.92527e-05
2181,9.96927e-05
2182,9.9908e-05
2183,0.000100113
2184,0.000100571
2185,0.000100782
2186,0.000101212
2187,0.000101424
2188,0.000101859
2189,0.000102286
2190,0.000102488
2191,0.000102935
2192,0.000103154
2193,0.000103595
2194,0.000103811
2195,0.000104254
2196,0.000104467
2197,0.00010467
2198,0.000105127
2199,0.00010554
2200,0.000105734
2201,0.000106189
2202,0.000106628
2203,0.000106834
2204,0.000107284
2205,0.000107503
2206,0.000107944
2207,0.00010816
2208,0.000108366
2209,0.000108825
2210,0.000109037
2211,0.000109468
2212,0.000109681
2213,0.000109885
2214,0.000110343
2215,0.000110555
2216,0.000110987
2217,0.0001112
2218,0.000111636
2219,0.000112057
2220,0.000112255
2221,0.000112472
2222,0.00011295
2223,0.000113167
2224,0.000113373
2225,0.00011383
2226,0.000114042
2227,0.000114478
2228,0.000114689
2229,0.000115122
2230,0.000115541
2231,0.000115739
2232,0.000116198
2233,0.000116421
2234,0.000116867
2235,0.000117085
2236,0.000117291
2237,0.000117752
2238,0.000118175
2239,0.000118593
2240,0.000118799
2241,0.000119254
2242,0.000119475
2243,0.00011992
2244,0.000120137
2245,0.000120576
2246,0.000121006
2247,0.000121209
2248,0.000121658
2249,0.000121877
2250,0.000122085
2251,0.000122548
