time,theta
638,3.12065
639,3.12065
640,3.12065
641,3.12065
642,3.12065
643,3.12065
644,3.12065
645,3.12065
646,3.12065
647,3.12065
648,3.12065
649,3.12065
650,3.12064
651,3.12064
652,3.12064
653,3.12064
654,3.12064
655,3.12064
656,3.12064
657,3.12064
658,3.12064
659,3.12064
660,3.12064
661,3.12064
662,3.12064
663,3.12064
664,3.12064
665,3.12064
666,3.12064
667,3.12064
668,3.12064
669,3.12064
670,3.12064
671,3.12064
672,3.12063
673,3.12063
674,3.12063
675,3.12063
676,3.12063
677,3.12063
678,3.12063
679,3.12063
680,3.12063
681,3.12063
682,3.12063
683,3.12063
684,3.12063
685,3.12063
686,3.12063
687,3.12063
688,3.12063
689,3.12063
690,3.12063
691,3.12063
692,3.12063
693,3.12063
694,3.12062
695,3.12062
696,3.12062
697,3.12062
698,3.12062
699,3.12062
700,3.12062
701,3.12062
702,3.12062
703,3.12062
704,3.12062
705,3.12062
706,3.12062
707,3.12062
708,3.12062
709,3.12062
710,3.12062
711,3.12062
712,3.12062
713,3.12062
714,3.12061
715,3.12061
716,3.12061
717,3.12061
718,3.12061
719,3.12061
720,3.12061
721,3.12061
722,3.12061
723,3.12061
724,3.12061
725,3.12061
726,3.12061
727,3.12061
728,3.12061
729,3.12061
730,3.12061
731,3.12061
732,3.12061
733,3.12061
734,3.12061
735,3.1206
736,3.1206
737,3.1206
738,3.1206
739,3.1206
740,3.1206
741,3.1206
742,3.1206
743,3.1206
744,3.1206
745,3.1206
746,3.1206
747,3.1206
748,3.1206
749,3.1206
750,3.1206
751,3.1206
752,3.1206
753,3.1206
754,3.1206
755,3.1206
756,3.12059
757,3.12059
758,3.12059
759,3.12059
760,3.12059
761,3.12059
762,3.12059
763,3.12059
764,3.12059
765,3.12059
766,3.12059
767,3.12059
768,3.12059
769,3.12059
770,3.12059
771,3.12059
772,3.12059
773,3.12059
774,3.12059
775,3.12058
776,3.12058
777,3.12058
778,3.12058
779,3.12058
780,3.12058
781,3.12058
782,3.12058
783,3.12058
784,3.12058
785,3.12058
786,3.12058
787,3.12058
788,3.12058
789,3.12058
790,3.12058
791,3.12058
792,3.12058
793,3.12058
794,3.12058
795,3.12057
796,3.12057
797,3.12057
798,3.12057
799,3.12057
800,3.12057
801,3.12057
802,3.12057
803,3.12057
804,3.12057
805,3.12057
806,3.12057
807,3.12057
808,3.12057
809,3.12057
810,3.12057
811,3.12057
812,3.12057
813,3.12057
814,3.12056
815,3.12056
816,3.12056
817,3.12056
818,3.12056
819,3.12056
820,3.12056
821,3.12056
822,3.12056
823,3.12056
824,3.12056
825,3.12056
826,3.12056
827,3.12056
828,3.12056
829,3.12056
830,3.12056
831,3.12056
832,3.12056
833,3.12055
834,3.12055
835,3.12055
836,3.12055
837,3.12055
838,3.12055
839,3.12055
840,3.12055
841,3.12055
842,3.12055
843,3.12055
844,3.12055
845,3.12055
846,3.12055
847,3.12055
848,3.12055
849,3.12055
850,3.12055
851,3.12055
852,3.12054
853,3.12054
854,3.12054
855,3.12054
856,3.12054
857,3.12054
858,3.12054
859,3.12054
860,3.12054
861,3.12054
862,3.12054
863,3.12054
864,3.12054
865,3.12054
866,3.12054
867,3.12054
868,3.12054
869,3.12054
870,3.12053
871,3.12053
872,3.12053
873,3.12053
874,3.12053
875,3.12053
876,3.12053
877,3.12053
878,3.12053
879,3.12053
880,3.12053
881,3.12053
882,3.12053
883,3.12053
884,3.12053
885,3.12053
886,3.12053
887,3.12053
888,3.12053
889,3.12053
890,3.12052
891,3.12052
892,3.12052
893,3.12052
894,3.12052
895,3.12052
896,3.12052
897,3.12052
898,3.12052
899,3.12052
900,3.12052
901,3.12052
902,3.12052
903,3.12052
904,3.12052
905,3.12052
906,3.12052
907,3.12052
908,3.12051
909,3.12051
910,3.12051
911,3.12051
912,3.12051
913,3.12051
914,3.12051
915,3.12051
916,3.12051
917,3.12051
918,3.12051
919,3.12051
920,3.12051
921,3.12051
922,3.12051
923,3.12051
924,3.12051
925,3.12051
926,3.12051
927,3.1205
928,3.1205
929,3.1205
930,3.1205
931,3.1205
932,3.1205
933,3.1205
934,3.1205
935,3.1205
936,3.1205
937,3.1205
938,3.1205
939,3.1205
940,3.1205
941,3.1205
942,3.1205
943,3.1205
944,3.1205
945,3.12049
946,3.12049
947,3.12049
948,3.12049
949,3.12049
950,3.12049
951,3.12049
952,3.12049
953,3.12049
954,3.12048
955,3.12048
956,3.12048
957,3.12048
958,3.12048
959,3.12048
960,3.12048
961,3.12048
962,3.12048
963,3.12048
964,3.12048
965,3.12048
966,3.12048
967,3.12048
968,3.12048
969,3.12048
970,3.12047
971,3.12047
972,3.12047
973,3.12047
974,3.12047
975,3.12047
976,3.12047
977,3.12047
978,3.12047
979,3.12047
980,3.12047
981,3.12047
982,3.12047
983,3.12047
984,3.12047
985,3.12047
986,3.12047
987,3.12047
988,3.12047
989,3.12046
990,3.12046
991,3.12046
992,3.12046
993,3.12046
994,3.12046
995,3.12046
996,3.12046
997,3.12046
998,3.12046
999,3.12046
1000,3.12046
1001,3.12046
1002,3.12046
1003,3.12046
1004,3.12046
1005,3.12046
1006,3.12046
1007,3.12045
1008,3.12045
1009,3.12045
1010,3.12045
1011,3.12045
1012,3.12045
1013,3.12045
1014,3.12045
1015,3.12045
1016,3.12045
1017,3.12045
1018,3.12045
1019,3.12045
1020,3.12045
1021,3.12045
1022,3.12045
1023,3.12045
1024,3.12045
1025,3.12044
1026,3.12044
1027,3.12044
1028,3.12044
1029,3.12044
1030,3.12044
1031,3.12044
1032,3.12044
1033,3.12044
1034,3.12044
1035,3.12044
1036,3.12044
1037,3.12044
1038,3.12044
1039,3.12044
1040,3.12044
1041,3.12044
1042,3.12044
1043,3.12044
1044,3.12043
1045,3.12043
1046,3.12043
1047,3.12043
1048,3.12043
1049,3.12043
1050,3.12043
1051,3.12043
1052,3.12043
1053,3.12043
1054,3.12043
1055,3.12043
1056,3.12043
1057,3.12043
1058,3.12043
1059,3.12043
1060,3.12043
1061,3.12042
1062,3.12042
1063,3.12042
1064,3.12042
1065,3.12042
1066,3.12042
1067,3.12042
1068,3.12042
1069,3.12042
1070,3.12042
1071,3.12042
1072,3.12042
1073,3.12042
1074,3.12042
1075,3.12042
1076,3.12042
1077,3.12042
1078,3.12042
1079,3.12041
1080,3.12041
1081,3.12041
1082,3.12041
1083,3.12041
1084,3.12041
1085,3.12041
1086,3.12041
1087,3.12041
1088,3.12041
1089,3.12041
1090,3.12041
1091,3.12041
1092,3.12041
1093,3.12041
1094,3.12041
1095,3.12041
1096,3.12041
1097,3.12041
1098,3.1204
1099,3.1204
1100,3.1204
1101,3.1204
1102,3.1204
1103,3.1204
1104,3.1204
1105,3.1204
1106,3.1204
1107,3.1204
1108,3.1204
1109,3.1204
1110,3.1204
1111,3.1204
1112,3.1204
1113,3.1204
1114,3.1204
1115,3.1204
1116,3.12039
1117,3.12039
1118,3.12042
1119,3.12052
1120,3.12055
1121,3.12059
1122,3.12059
1123,3.12059
1124,3.12059
1125,3.12058
1126,3.12058
1127,3.12058
1128,3.12057
1129,3.12057
1130,3.12057
1131,3.12056
1132,3.12056
1133,3.12056
1134,3.12055
1135,3.12055
1136,3.12055
1137,3.12055
1138,3.12055
1139,3.12054
1140,3.12054
1141,3.12054
1142,3.12054
1143,3.12054
1144,3.12054
1145,3.12053
1146,3.12053
1147,3.12053
1148,3.12053
1149,3.12053
1150,3.12053
1151,3.12053
1152,3.12053
1153,3.12053
1154,3.12053
1155,3.12053
1156,3.12053
1157,3.12053
1158,3.12053
1159,3.12053
1160,3.12053
1161,3.12052
1162,3.12052
1163,3.12052
1164,3.12052
1165,3.12052
1166,3.12052
1167,3.12052
1168,3.12052
1169,3.12052
1170,3.12052
